block	1555	id	1555
block	1555	resistence	0.0
block	1555	enableStats	true
block	1555	needsRandomTick	true
block	1555	bounds	0.062500-0.937500,0.000000-0.031250,0.062500-0.937500
block	1555	stepSound	step.stone
block	1555	particleGravity	1.0
block	1555	material	rock
block	1555	isLiquid	false
block	1555	isSolid	true
block	1555	canBlockGrass	true
block	1555	blocksMovement	true
block	1555	canBurn	false
block	1555	isReplaceable	false
block	1555	isOpaque	true
block	1555	isToolNotRequired	false
block	1555	slipperiness	0.6
block	1555	unlocalizedName	tile.null
block	1555	isNormalCube	false
block	1555	renderAsNormalBlock	false
block	1555	renderType	-1
block	1555	localizedName	tile.null.name
block	1555	hardness	0.0
block	1555	hasTileEntity	false
block	1555	opaqueCube	false
block	1555	canCollideCheck	true
block	1555	isCollidable	true
block	1555	quantityDropped	1
block	1555	damageDropped	0
block	1555	canProvidePower	true
block	1555	mobilityFlag	1
block	1555	hasComparatorInputOverride	false
item	1555	id	1555
item	1555	gid	ObsidiPlates/id1555
item	1555	itemStackLimit	64
item	1555	hasSubtypes	true
item	1555	maxDamage	0
item	1555	isDamageable	false
item	1555	localizedName	tile.pressurePlate.OBSIDIAN
item	1555	unlocalizedName	tile.null
item	1555	hasContainerItem	false
item	1555	statName	tile.null.name
item	1555	isMap	false
item	1555	itemUseAction	none
item	1555	maxItemUseDuration	0
item	1555	potionEffect	null
item	1555	isPotionIngredient	false
item	1555	itemDisplayName	Pressure Plate
item	1555	isItemTool	false
item	1555	enchantability	0
item	1555	isRepairable	false
item	1555	isItemBlock	true
recipes/crafting/shaped	W=2;Minecraft/tile.obsidian:32767;Minecraft/tile.obsidian:32767	output	1555:0
recipes/crafting/shaped	W=1;ObsidiPlates/id1555:0;Minecraft/tile.cloth:32767	output	1555:2
recipes/crafting/shaped	W=3;Minecraft/item.netherquartz:0;Minecraft/item.yellowDust:0;Minecraft/item.netherquartz:0;Minecraft/item.yellowDust:0;ObsidiPlates/id1555:0;Minecraft/item.yellowDust:0;Minecraft/item.netherquartz:0;Minecraft/item.yellowDust:0;Minecraft/item.netherquartz:0	output	1555:8
recipes/crafting/shaped	W=3;Minecraft/item.netherquartz:0;Minecraft/item.yellowDust:0;Minecraft/item.netherquartz:0;Minecraft/item.yellowDust:0;ObsidiPlates/id1555:2;Minecraft/item.yellowDust:0;Minecraft/item.netherquartz:0;Minecraft/item.yellowDust:0;Minecraft/item.netherquartz:0	output	1555:10
recipes/crafting/shaped	W=2;Minecraft/tile.stoneMoss:32767;Minecraft/tile.stoneMoss:32767	output	1555:4
recipes/crafting/shaped	W=1;ObsidiPlates/id1555:4;Minecraft/tile.cloth:32767	output	1555:6
recipes/crafting/shaped	W=3;Minecraft/item.netherquartz:0;Minecraft/item.yellowDust:0;Minecraft/item.netherquartz:0;Minecraft/item.yellowDust:0;ObsidiPlates/id1555:4;Minecraft/item.yellowDust:0;Minecraft/item.netherquartz:0;Minecraft/item.yellowDust:0;Minecraft/item.netherquartz:0	output	1555:12
recipes/crafting/shaped	W=3;Minecraft/item.netherquartz:0;Minecraft/item.yellowDust:0;Minecraft/item.netherquartz:0;Minecraft/item.yellowDust:0;ObsidiPlates/id1555:6;Minecraft/item.yellowDust:0;Minecraft/item.netherquartz:0;Minecraft/item.yellowDust:0;Minecraft/item.netherquartz:0	output	1555:14
